blackVerticalRectangle U025AE
rectangleWhiteVertical U025AF
balckParallelogram U025B0
parallelogramOpen U025B1
blackTriangleUp U025B2
blackTriangle U025B4
blackTriangleRight U025B6
smallBlackTriangleRight U025B8
smallTriangleRight U025B9
blackPointerRight U025BA
whitePointerRight U025BB
bigBlackTriangleDown U025BC
bigTriangleDown U025BD
blackTriangleDown U025BE
triangleDown U025BF
blackTriangleLeft U025C0
smallBlackTriangleLeft U025C2
smallTriangleLeft U025C3
blackPointerLeft U025C4
whitePointerLeft U025C5
blackDiamond U025C6
whiteDiamondOpen U025C7
blackInWhiteDiamond U025C8
fisheye U025C9
lozengeOrTotalMark U025CA
dottedCircle U025CC
circleWithVerticalFill U025CD
bullseye U025CE
circleFilled U025CF
circleFilledLeftHalf U025D0
circleFilledRIghtHalf U025D1
circleFilledBottomHalf U025D2
circleFilledTopHalf U025D3
circleWithUpperRIghtQuadrantBlack U025D4
circleWithAllButUpperLeftQuadrantBlack U025D5
leftHalfBlackCircle U025D6
rightHalfBlackCircle U025D7
inverseBullet U025D8
inverseWhiteCircle U025D9
upperHalfInverseWhiteCircle U025DA
lowerHalfInverseWhiteCircle U025DB
upperLeftQuadrantCircularArc U025DC
upperRightQuadrantCircularArc U025DD
lowerRightQuadrantCircularArc U025DE
lowerLeftQuadrantCircularArc U025DF
upperHalfCircle U025E0
lowerHalfCircle U025E1
lowerRightTriangleFilled U025E2
lowerLeftTriangleFilled U025E3
upperLeftTriangleFilled U025E4
upperRightTriangleFilled U025E5
whiteBullet U025E6
squareFilledLeftHalf U025E7
squareFilledRightHalf U025E8
squareFilledTopLeftCorner U025E9
squareFilledBottomRightCorner U025EA
triangleWithCenteredDot U025EC
upPointingTriangleWithLeftHalfBlack U025ED
upPointingTriangleWithRightHalfBlack U025EE
largeCircle U025EF
whiteSquareWithUpperLeftQuadrant U025F0
whiteSquareWithLowerLeftQuadrant U025F1
whiteSquareWithLowerRightQuadrant U025F2
whiteSquareWithUpperRightQuadrant U025F3
whiteCircleWithUpperLeftQuadrant U025F4
whiteCircleWithLowerLeftQuadrant U025F5
whiteCircleWithLowerRightQuadrant U025F6
whiteCircleWithUpperRightQuadrant U025F7
upperLeftTriangle U025F8
upperRightTriangle U025F9
lowerLeftTriangle U025FA
whiteMediumSquare U025FB
blackMediumSquare U025FC
whiteMediumSmallSquare U025FD
blackMediumSmallSquare U025FE
lowerRightTriangle U025FF
starFilled U02605
starOpen U02606
sun U02609
dangerousBend U02621
blackSmilingFace U0263B
whiteSunWithRays U0263C
firstQuarterMoon U0263D
lastQuarterMoon U0263E
venusFemale U02640
marsMale U02642
spadesSuitSymbol U02660
heartSuitSymbol U02661
diamondSuitSymbol U02662
clubSuitSymbol U02663
spadeWhite U02664
filledHeart U02665
filledDiamond U02666
clubWhite U02667
musicNote U02669
eighthNote U0266A
beamedEighthNotes U0266B
musicalFlat U0266D
musicNatural U0266E
musicaSharp U0266F
permanentPaperSign U0267E
dieFace1 U02680
dieFace2 U02681
dieFace3 U02682
dieFace4 U02683
dieFace5 U02684
dieFace6 U02685
whiteCircleWithDotRight U02686
whiteCircleWithTwoDots U02687
blackCircleWithWhiteDotRight U02688
blackCircleWithTwoWhiteDots U02689
maleAndFemaleSign U026A5
mediumWhiteCircle U026AA
mediumBlackCircle U026AB
mediumSmallWhiteCircle U026AC
neuter U026B2
checkMark U02713
malteseCross U02720
circledWhiteStar U0272A
sixPointedBlackStar U02736
heavyTeardropSpokedAsterisk U0273D
rightArrowWithBoldHead U0279B
threeDimensionalAngle U027C0
whiteTriangleContainingSmallWhiteTriangle U027C1
openSubset U027C3
openSuperset U027C4
whiteDiamondWithCentredDot U027D0
risingDiagonalCrossingFallingDiagonal U0292B
fallingDiagonalCrossingRisingDiagonal U0292C
southEastArrowCrossingNorthEastArrow U0292D
northEastArrowCrossingSouthEastArrow U0292E
fallingDiagonalCrossingNorthEastArrow U0292F
risingDiagonalCrossingSouthEastArrow U02930
northEastArrowCrossingNorthWestArrow U02931
northWestArrowCrossingNorthEastArrow U02932
arrowPointingRightwardsThenCuringUpwards U02934
arrowPointingRightwardsThenCurvingDownwards U02935
zNotationSpot U02981
dottedFence U02999
verticalZigzagLine U0299A
measuredAngleOpeningLeft U0299B
rightAngleVariantWithSquare U0299C
measuredRightAngleWithDot U0299D
angleWithSInside U0299E
acuteAngle U0299F
sphericalAngleOpeningLeft U029A0
sphericalAngleOpeningUp U029A1
turnedAngle U029A2
reversedAngle U029A3
angleWithUnderbar U029A4
reversedAngleWithUnderbar U029A5
obliqueAngleOpeningUp U029A6
obliqueAngleOpeningDown U029A7
measuredAngleWithOpenArmEndingInArrowPointingUpAndRight U029A8
measuredAngleWithOpenArmEndingInArrowPointingUpAndLeft U029A9
measuredAngleWithOpenArmEndingInArrowPointingDownAndRight U029AA
measuredAngleWithOpenArmEndingInArrowPointingDownAndLeft U029AB
measuredAngleWithOpenArmEndingInArrowPointingRightAndUp U029AC
measuredAngleWithOpenArmEndingInArrowPointingLeftAndUp U029AD
measuredAngleWithOpenArmEndingInArrowPointingRightAndDown U029AE
measuredAngleWithOpenArmEndingInArrowPointingLeftAndDown U029AF
reversedEmptySet U029B0
emptySetWithOverbar U029B1
emptySetWithSmallCircleAbove U029B2
emptySetWithRightArrowAbove U029B3
emptySetWithLeftArrowAbove U029B4
circleDividedByHorizontalBarAndTopHalfDividedByVerticalBar U029BA
circleWithSuperimposedx U029BB
circledAnticlockwiseRotatedDivisionSign U029BC
upArrowThroughCircle U029BD
circledWhiteBullet U029BE
circledBullet U029BF
circleWithSmallCircleToTheRight U029C2
circleWithTwoHorizontalStrokesToTheRight U029C3
twoJoinedSquares U029C9
triangleWithDotAbove U029CA
triangleWithUnderbar U029CB
sInTriangle U029CC
incompleteInfinity U029DC
tieOverInfinity U029DD
infinityNegatedWithVerticalBar U029DE
squareWithContouredOutline U029E0
thermodynamic U029E7
downPointingTriangleWithLeftHalfBlack U029E8
downPointingTriangleWithRightHalfBlack U029E9
blackDiamondDownArrrow U029EA
circleDownArrow U029EC
blackCircleDownArrow U029ED
errorBarredWhiteSquare U029EE
errorBarredBlackSquare U029EF
errorBarredWhiteDiamond U029F0
errorBarredBlackDiamond U029F1
errorBarredWhiteCircle U029F2
errorBarredBlackCircle U029F3
perpendicularWithS U02AE1
downTackWithCircleBelow U02AF1
squareWithTopHalfBlack U02B12
squareWithBottomHalfBlack U02B13
squareWithUpperRightDiagonalHalfBlack U02B14
squareWithLowerLeftDiagonalHalfBlack U02B15
diamondWithLeftHalfBlack U02B16
diamondWithRightHalfBlack U02B17
diamondWithTopHalfBlack U02B18
diamondWithBottomHalfBlack U02B19
dottedSquare U02B1A
blackLargeSquare U02B1B
whiteLargeSquare U02B1C
blackVerySmallSquare U02B1D
whiteVerySmallSquare U02B1E
blackPentagon U02B1F
whitePentagon U02B20
whiteHexagon U02B21
blackHexagon U02B22
horizontalBlackHexagon U02B23
blackLargeCircle U02B24
blackMediumDiamond U02B25
whiteMediumDiamond U02B26
blackMediumLozenge U02B27
whiteMediumLozenge U02B28
blackSmallDiamond U02B29
balckSmallLozenge U02B2A
whiteSmallLozenge U02B2B
blackHorizontalEllipse U02B2C
whiteHorizontalEllipse U02B2D
blackVerticalEllipse U02B2E
whiteVerticalEllipse U02B2F
whiteMediumStar U02B50
blackMediumStar U02B51
whiteSmallStar U02B52
blackRightPointingPentagon U02B53
whiteRightPointingPentagon U02B54
postalMark U03012
zigzag U03030
mathematicalBoldDigit0 U1D7CE
mathematicalBoldDigit1 U1D7CF
mathematicalBoldDigit2 U1D7D0
mathematicalBoldDigit3 U1D7D1
mathematicalBoldDigit4 U1D7D2
mathematicalBoldDigit5 U1D7D3
mathematicalBoldDigit6 U1D7D4
mathematicalBoldDigit7 U1D7D5
mathematicalBoldDigit8 U1D7D6
mathematicalBoldDigit9 U1D7D7
mathematicalDoubleStruckDigit0 U1D7D8
mathematicalDoubleStruckDigit1 U1D7D9
mathematicalDoubleStruckDigit2 U1D7DA
mathematicalDoubleStruckDigit3 U1D7DB
mathematicalDoubleStruckDigit4 U1D7DC
mathematicalDoubleStruckDigit5 U1D7DD
mathematicalDoubleStruckDigit6 U1D7DE
mathematicalDoubleStruckDigit7 U1D7DF
mathematicalDoubleStruckDigit8 U1D7E0
mathematicalDoubleStruckDigit9 U1D7E1
mathematicalSansSerifDigit0 U1D7E2
mathematicalSansSerifDigit1 U1D7E3
mathematicalSansSerifDigit2 U1D7E4
mathematicalSansSerifDigit3 U1D7E5
mathematicalSansSerifDigit4 U1D7E6
mathematicalSansSerifDigit5 U1D7E7
mathematicalSansSerifDigit6 U1D7E8
mathematicalSansSerifDigit7 U1D7E9
mathematicalSansSerifDigit8 U1D7EA
mathematicalSansSerifDigit9 U1D7EB
mathematicalSansSerifBoldDigit0 U1D7EC
mathematicalSansSerifBoldDigit1 U1D7ED
mathematicalSansSerifBoldDigit2 U1D7EE
mathematicalSansSerifBoldDigit3 U1D7EF
mathematicalSansSerifBoldDigit4 U1D7F0
mathematicalSansSerifBoldDigit5 U1D7F1
mathematicalSansSerifBoldDigit6 U1D7F2
mathematicalSansSerifBoldDigit7 U1D7F3
mathematicalSansSerifBoldDigit8 U1D7F4
mathematicalSansSerifBoldDigit9 U1D7F5
mathematicalMonospaceDigit0 U1D7F6
mathematicalMonospaceDigit1 U1D7F7
mathematicalMonospaceDigit2 U1D7F8
mathematicalMonospaceDigit3 U1D7F9
mathematicalMonospaceDigit4 U1D7FA
mathematicalMonospaceDigit5 U1D7FB
mathematicalMonospaceDigit6 U1D7FC
mathematicalMonospaceDigit7 U1D7FD
mathematicalMonospaceDigit8 U1D7FE
mathematicalMonospaceDigit9 U1D7FF
lessThanSignR U0003C
equalsSignR U0003D
greaterThanSignR U0003E
closeUp U02050
leftwardArrow U02190
upwardArrow U02191
rightwardArrow U02192
downwardArrow U02193
leftAndRightArrow U02194
UpAndDownArrow U02195
nwPointingArrow U02196
nePointingArrow U02197
sePointingArrow U02198
swPointingArrow U02199
notLeftArrow U0219A
notRightArrow U0219B
leftArrowWavy U0219C
rightArrowWavy U0219D
leftTwoHeadedArrow U0219E
upTwoHeadedArrow U0219F
rightTwoHeadedArrow U021A0
downTwoHeadedArrow U021A1
leftArrowTailed U021A2
rightArrowTailed U021A3
mapsToLeftward U021A4
mapsToUpward U021A5
mapsToRightward U021A6
mapsToDownward U021A7
leftArrowHooked U021A9
rightArrowHooked U021AA
leftArrowLooped U021AB
rightArrowLooped U021AC
leftAndRightArrWavy U021AD
notLeftAndRightArrow U021AE
downwardsZigzagArrow U021AF
ishA U021B0
rshA U021B1
leftDownAngledArrow U021B2
rightDownAngledArrow U021B3
leftCurvedArrow U021B6
rightCurvedArrow U021B7
leftHarpoonUp U021BC
leftHarpoonDown U021BD
upHarpoonRight U021BE
upHarpoonLeft U021BF
rightHarpoonUp U021C0
rightHarpoonDown U021C1
downHarpoonRight U021C2
downHarpoonLeft U021C3
rightArrowOverLeftArrow U021C4
upArrowDownArrow U021C5
leftArrowOverRightArrow U021C6
twoLeftArrows U021C7
twoUpArrows U021C8
twoRightArrows U021C9
twoDownArrows U021CA
leftHarpoonOverRight U021CB
rightHarpoonOverLeft U021CC
notImpliedBy U021CD
notLeftAndRightDoubleArrows U021CE
notImplies U021CF
isImpliedBy U021D0
upDoubleArrow U021D1
implies U021D2
downDoubleArrow U021D3
leftAndRightDoubleArrow U021D4
upAndDownDoubleArrow U021D5
nwPointingDoubleArrow U021D6
nePointingDoubleArrow U021D7
sePointingDoubleArrow U021D8
swPointingDoubleArrow U021D9
leftTripleArrow U021DA
rightTripleArrow U021DB
leftwardsSquiggleArrow U021DC
rightwardsSquiggleArrow U021DD
leftwardsArrowToBar U021E4
rightwardArrowToBar U021E5
rightArrowWithSmallCircle U021F4
downwardsArrrowLeftwardsOfUpwardsArrow U021F5
threeRightwardsArrows U021F6
leftwardsArrowWithVerticalStroke U021F7
rightwardsArrowWithVerticalStroke U021F8
leftRightArrowWithVerticalStroke U021F9
leftwardsArrowWiithDoubleVerticalStroke U021FA
rightwardsArrowWithDoubleVerticalStroke U021FB
leftRightArrowWithDoubleVerticalStroke U021FC
leftwardsOpenHeadedArrow U021FD
rightwardsOpenHeadedArrow U021FE
leftRightOpenHeadedArrow U021FF
setMembershipVariant U02208 
negatedSetMembership U02209
setMembership U0220A
containsVariant U0220B
negatedContainsVariant U0220C
smallContainsMember U0220D
isProportionalTo U0221D
midR U02223
negatedMid U02224
parallel U02225
notParallel U02226
ratio U02236
twoColons U02237
excess U02239
minuWithFourDots U0223A
homothetic U0223B
similar U0223C
reverseSimilar U0223D
notSimilar U02241
equalsSimilar U02242
similarEquals U02243
notSimilarEquals U02244
similarEquals U02243
notSimilarEquals U02244
congruentWith U02245
similarNotEquals U02246
notCongruentWith U02247
approximate U02248
notApproximate U02249
approximateEquals U0224A
approximatelyIdenticalTo U0224B
allEqualTo U0224C
asymptoticallyEqualTo U0224D
bumpyEquals U0224E
bumpyEqualsEquals U0224F
equalsSingleDotAbove U02250
equalsEvenDots U02251
equalsFallingDots U02252
equalsRisingDots U02253
colonEquals U02254
equalsColon U02255
circleOnEquaslSign U02256
